1366779436	3.33

1366779445	3.34

1366779454	3.33

1366779463	3.33

1366779472	3.34

1366779481	3.33

1366779490	3.33

1366779499	3.33

1366779508	3.33

1366779672	3.34

1366779681	3.34

1366779699	3.33

1366779862	3.35

1366779871	3.33

1366779888	3.34

1366780621	3.33
1366780630	3.33
1366816449	3.24
1366816458	3.54
1366816467	3.73
1366816476	3.93
1367194487	3.24
1367194495	3.23
1367194503	3.26
1367194511	3.18
1367194520	3.26
1367194528	3.23
1367194536	3.23
1367194544	3.15
1367194552	3.23
1367194560	3.23
1367194869	3.23
1367194877	3.22
1367195055	3.23
1367195063	3.24
